sp,postri,family,order,q0.025,q0.05,q0.25,q0.5,q0.75,q0.95,q0.975,crosscount
Phasianus_colchicus,-0.0259514736935065,Phasianidae,GALLIFORMES,-0.21815785,-0.1891427,-0.1026013,-0.0356974,0.04041083,0.1562878,0.1952477,13
Phasianus_versicolor,0.0401078558296703,Phasianidae,GALLIFORMES,-0.2444261,-0.2029905,-0.05069216,0.04808833,0.1377292,0.2785161,0.3346143,5
Tympanuchus_phasianellus,-0.17432315722038,Phasianidae,GALLIFORMES,-0.96200875,-0.8636667,-0.4810098,-0.2139081,0.06580934,0.4993605,0.61543715,1
Syrmaticus_reevesii,0.0637594346703297,Phasianidae,GALLIFORMES,-0.20827935,-0.1595566,-0.02137474,0.06859102,0.1512355,0.2897928,0.32363335,6
Tragopan_satyra,-0.270626997976923,Phasianidae,GALLIFORMES,-1.1340945,-0.9785179,-0.6018231,-0.3000043,0.001625748,0.4258756,0.527271,1
Acryllium_vulturinum,0.691163999637363,Numididae,GALLIFORMES,0.1334569,0.2086688,0.4843868,0.6684273,0.8564343,1.123827,1.2034865,1
Grus_antigone,-0.355099600983017,Gruidae,GRUIFORMES,-1.192692,-1.064956,-0.6679397,-0.3740341,-0.08362189,0.3782979,0.52396405,1
Larus_hyperboreus,-0.374409163184715,Laridae,CHARADRIIFORMES,-1.2616205,-1.050201,-0.6032512,-0.353603,-0.07051997,0.292942,0.36669015,2
Larus_occidentalis,-0.199656001195904,Laridae,CHARADRIIFORMES,-1.073387,-0.9155862,-0.480871,-0.1961695,0.07536792,0.4942622,0.60022285,1
Larus_argentatus,-0.325574561007093,Laridae,CHARADRIIFORMES,-1.0902535,-0.9450303,-0.5822515,-0.315692,-0.03930343,0.2967674,0.40342955,2
Columba_guinea,0.0891074734773227,Columbidae,COLUMBIFORMES,-0.51935705,-0.4389963,-0.1393671,0.07069853,0.2711343,0.5438491,0.60763555,1
Columba_livia,-0.139381180179421,Columbidae,COLUMBIFORMES,-0.57787035,-0.5228498,-0.2907183,-0.123347,0.03316686,0.2655478,0.32810205,3
Columba_oenas,0.31364156384016,Columbidae,COLUMBIFORMES,-0.3888931,-0.2797338,0.06511676,0.3137471,0.5756113,0.9585346,1.087902,1
Geopelia_cuneata,0.196466900826474,Columbidae,COLUMBIFORMES,-0.47744825,-0.3879758,-0.03714388,0.1798035,0.3945277,0.7176875,0.82963685,2
